Name,Address,description,Website,long,lat
Carolina Beach State Park,"1010 State Park Rd, Carolina Beach, NC 28428",State Park,https://www.ncparks.gov/state-parks/carolina-beach-state-park,-77.9138889,34.045936
Carvers Creek State Park,"2505 Long Valley Rd, Spring Lake, NC 28390",State Park,https://www.ncparks.gov/state-parks/carvers-creek-state-park,-78.9761228,35.2023328
Chimney Rock State Park,"431 Main St, Chimney Rock, NC 28720",State Park,https://www.ncparks.gov/state-parks/chimney-rock-state-park,-82.2485749,35.4397021
Cliffs of the Neuse State Park,"40 Park Entrance Rd, Seven Springs, NC 28578",State Park,https://www.ncparks.gov/state-parks/cliffs-neuse-state-park,-77.890446,35.235643
Crowders Mountain State Park,"522 Park Office Ln, Kings Mountain, NC 28086",State Park,https://www.ncparks.gov/state-parks/crowders-mountain-state-park,-81.3141461,35.2015141
Dismal Swamp State Park,"2294 US-17, South Mills, NC 27976",State Park,https://www.ncparks.gov/state-parks/dismal-swamp-state-park,-76.355809,36.504978
Elk Knob State Park,"5564 Meat Camp Rd, Todd, NC 28684",State Park,https://www.ncparks.gov/state-parks/elk-knob-state-park,-81.6964318,36.3334616
Eno River State Park,"6101 Cole Mill Road Durham, NC 27705",State Park,https://www.ncparks.gov/state-parks/eno-river-state-park,-79.0136476,36.0765759
Falls Lake State Recreation Area,"13304 Creedmoor Rd, Wake Forest, NC 27587",State Park,https://www.ncparks.gov/state-parks/falls-lake-state-recreation-area,-78.6990695,36.0306401
Fort Fisher State Recreation Area,"1000 Loggerhead Rd, Kure Beach, NC 28449",State Park,https://www.ncparks.gov/state-parks/fort-fisher-state-recreation-area,-77.9226249,33.964917
Fort Macon State Park,"2303 E Fort Macon Rd, Atlantic Beach, NC 28512",State Park,https://www.ncparks.gov/state-parks/fort-macon-state-park,-76.6922289,34.7000204
Goose Creek State Park,"2190 Camp Leach Rd, Washington, NC 27889",State Park,https://www.ncparks.gov/state-parks/goose-creek-state-park,-76.910534,35.4735718
Gorges State Park,"976 Grassy Ridge Rd, Sapphire, NC 28774",State Park,https://www.ncparks.gov/state-parks/gorges-state-park,-82.9506545,35.0964141
Grandfather Mountain State Park,"9872 Highway 105 South, Banner Elk, NC 28604",State Park,https://www.ncparks.gov/state-parks/grandfather-mountain-state-park,-81.8181518,36.1040754
Hammocks Beach State Park,"1572 State Rd 1511, Swansboro, NC 28584",State Park,https://www.ncparks.gov/state-parks/hammocks-beach-state-park,-77.1418296,34.6718588
Hanging Rock State Park,"1790 Hanging Rock Park Rd, Danbury, NC 27016",State Park,https://www.ncparks.gov/state-parks/hanging-rock-state-park,-80.253975,36.411521
Haw River State Park,"339 Conference Center Dr, Browns Summit, NC 27214",State Park,https://www.ncparks.gov/state-parks/haw-river-state-park,-79.75639,36.250859
Jockey's Ridge State Park,"300 W Carolista Dr, Nags Head, NC 27959",State Park,https://www.ncparks.gov/state-parks/jockeys-ridge-state-park,-75.6326293,35.9637835
